Key,Value
last_success_proposal,0000003
A,7
B,2
C,8
D,3
E,3
F,5
G,0
H,2
I,1
J,0
K,1
L,1
M,2
N,0
O,3
P,9
Q,0
R,0
S,1
T,11
U,0
V,4
W,4
X,0
Y,9
Z,0
last_success_proposal,0000004
A,8
B,2
C,8
D,3
E,3
F,5
G,0
H,3
I,1
J,0
K,1
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,2
T,11
U,0
V,4
W,4
X,0
Y,9
Z,0
last_success_proposal,0000005
A,9
B,2
C,10
D,4
E,4
F,6
G,1
H,3
I,2
J,0
K,1
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,2
T,15
U,0
V,4
W,5
X,0
Y,10
Z,0
last_success_proposal,0000006
A,12
B,2
C,13
D,6
E,4
F,6
G,1
H,4
I,2
J,0
K,2
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,3
T,15
U,0
V,4
W,6
X,0
Y,12
Z,0
last_success_proposal,0000007
A,14
B,2
C,15
D,6
E,4
F,6
G,2
H,4
I,2
J,0
K,2
L,1
M,3
N,2
O,3
P,11
Q,0
R,0
S,4
T,18
U,0
V,4
W,6
X,0
Y,13
Z,0
last_success_proposal,0000008
A,15
B,2
C,16
D,6
E,4
F,6
G,2
H,5
I,3
J,0
K,2
L,1
M,4
N,3
O,3
P,11
Q,0
R,0
S,6
T,23
U,0
V,4
W,7
X,0
Y,15
Z,0
last_success_proposal,0000009
A,15
B,3
C,16
D,6
E,4
F,6
G,2
H,5
I,3
J,0
K,2
L,1
M,4
N,5
O,3
P,11
Q,0
R,0
S,7
T,25
U,1
V,4
W,10
X,0
Y,16
Z,0
last_success_proposal,0000010
A,18
B,4
C,18
D,7
E,4
F,8
G,2
H,5
I,5
J,0
K,2
L,2
M,4
N,5
O,4
P,12
Q,0
R,0
S,7
T,27
U,1
V,4
W,11
X,0
Y,17
Z,0
last_success_proposal,0000011
A,23
B,4
C,19
D,7
E,4
F,8
G,2
H,5
I,6
J,0
K,2
L,2
M,4
N,6
O,6
P,12
Q,0
R,1
S,7
T,30
U,1
V,4
W,15
X,0
Y,19
Z,0
last_success_proposal,0000012
A,24
B,4
C,21
D,7
E,5
F,8
G,2
H,5
I,8
J,0
K,2
L,2
M,4
N,7
O,6
P,13
Q,0
R,3
S,8
T,34
U,1
V,5
W,15
X,0
Y,20
Z,0
last_success_proposal,0000013
A,25
B,4
C,23
D,8
E,5
F,9
G,2
H,5
I,9
J,0
K,2
L,2
M,4
N,8
O,8
P,14
Q,0
R,3
S,9
T,38
U,1
V,5
W,16
X,0
Y,22
Z,0
last_success_proposal,0000014
A,26
B,5
C,23
D,8
E,7
F,9
G,2
H,5
I,9
J,0
K,2
L,3
M,4
N,8
O,10
P,14
Q,0
R,6
S,9
T,39
U,1
V,5
W,18
X,0
Y,24
Z,0
last_success_proposal,0000015
A,26
B,5
C,23
D,9
E,7
F,9
G,2
H,5
I,9
J,0
K,2
L,3
M,4
N,8
O,10
P,14
Q,0
R,6
S,9
T,39
U,1
V,5
W,18
X,0
Y,24
Z,0
last_success_proposal,0000016
A,27
B,5
C,24
D,9
E,7
F,9
G,2
H,6
I,9
J,0
K,2
L,3
M,4
N,8
O,11
P,18
Q,0
R,6
S,9
T,40
U,1
V,7
W,20
X,0
Y,27
Z,0
last_success_proposal,0000017
A,30
B,5
C,27
D,9
E,8
F,10
G,2
H,6
I,10
J,0
K,2
L,3
M,4
N,8
O,11
P,19
Q,0
R,6
S,9
T,44
U,1
V,8
W,21
X,0
Y,30
Z,0
last_success_proposal,0000018
A,30
B,6
C,27
D,10
E,8
F,12
G,2
H,6
I,10
J,0
K,3
L,3
M,5
N,8
O,12
P,19
Q,0
R,6
S,10
T,48
U,1
V,9
W,21
X,0
Y,32
Z,0
last_success_proposal,0000019
A,31
B,6
C,28
D,11
E,8
F,13
G,2
H,7
I,10
J,0
K,3
L,4
M,5
N,8
O,12
P,23
Q,0
R,6
S,10
T,49
U,1
V,9
W,22
X,0
Y,32
Z,0
last_success_proposal,0000020
A,33
B,7
C,31
D,12
E,10
F,14
G,2
H,7
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,23
Q,0
R,6
S,10
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000021
A,34
B,7
C,31
D,12
E,10
F,14
G,2
H,8
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,11
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000022
A,1
B,0
C,1
D,0
E,0
F,0
G,0
H,1
I,0
J,0
K,0
L,0
M,0
N,0
O,1
P,4
Q,0
R,0
S,0
T,1
U,0
V,2
W,2
X,0
Y,3
Z,0
last_success_proposal,0000000
A,4
B,0
C,4
D,0
E,1
F,1
G,0
H,1
I,1
J,0
K,0
L,0
M,0
N,0
O,1
P,5
Q,0
R,0
S,0
T,5
U,0
V,3
W,3
X,0
Y,6
Z,0
last_success_proposal,0000001
A,4
B,1
C,4
D,1
E,1
F,3
G,0
H,1
I,1
J,0
K,1
L,0
M,1
N,0
O,2
P,5
Q,0
R,0
S,1
T,9
U,0
V,4
W,3
X,0
Y,8
Z,0
last_success_proposal,0000002
A,5
B,1
C,5
D,2
E,1
F,4
G,0
H,2
I,1
J,0
K,1
L,1
M,1
N,0
O,2
P,9
Q,0
R,0
S,1
T,10
U,0
V,4
W,4
X,0
Y,8
Z,0
last_success_proposal,0000003
A,7
B,2
C,8
D,3
E,3
F,5
G,0
H,2
I,1
J,0
K,1
L,1
M,2
N,0
O,3
P,9
Q,0
R,0
S,1
T,11
U,0
V,4
W,4
X,0
Y,9
Z,0
last_success_proposal,0000004
A,8
B,2
C,8
D,3
E,3
F,5
G,0
H,3
I,1
J,0
K,1
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,2
T,11
U,0
V,4
W,4
X,0
Y,9
Z,0
last_success_proposal,0000005
A,9
B,2
C,10
D,4
E,4
F,6
G,1
H,3
I,2
J,0
K,1
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,2
T,15
U,0
V,4
W,5
X,0
Y,10
Z,0
last_success_proposal,0000006
A,12
B,2
C,13
D,6
E,4
F,6
G,1
H,4
I,2
J,0
K,2
L,1
M,2
N,0
O,3
P,10
Q,0
R,0
S,3
T,15
U,0
V,4
W,6
X,0
Y,12
Z,0
last_success_proposal,0000007
A,14
B,2
C,15
D,6
E,4
F,6
G,2
H,4
I,2
J,0
K,2
L,1
M,3
N,2
O,3
P,11
Q,0
R,0
S,4
T,18
U,0
V,4
W,6
X,0
Y,13
Z,0
last_success_proposal,0000008
A,15
B,2
C,16
D,6
E,4
F,6
G,2
H,5
I,3
J,0
K,2
L,1
M,4
N,3
O,3
P,11
Q,0
R,0
S,6
T,23
U,0
V,4
W,7
X,0
Y,15
Z,0
last_success_proposal,0000009
A,15
B,3
C,16
D,6
E,4
F,6
G,2
H,5
I,3
J,0
K,2
L,1
M,4
N,5
O,3
P,11
Q,0
R,0
S,7
T,25
U,1
V,4
W,10
X,0
Y,16
Z,0
last_success_proposal,0000010
A,18
B,4
C,18
D,7
E,4
F,8
G,2
H,5
I,5
J,0
K,2
L,2
M,4
N,5
O,4
P,12
Q,0
R,0
S,7
T,27
U,1
V,4
W,11
X,0
Y,17
Z,0
last_success_proposal,0000011
A,23
B,4
C,19
D,7
E,4
F,8
G,2
H,5
I,6
J,0
K,2
L,2
M,4
N,6
O,6
P,12
Q,0
R,1
S,7
T,30
U,1
V,4
W,15
X,0
Y,19
Z,0
last_success_proposal,0000012
A,24
B,4
C,21
D,7
E,5
F,8
G,2
H,5
I,8
J,0
K,2
L,2
M,4
N,7
O,6
P,13
Q,0
R,3
S,8
T,34
U,1
V,5
W,15
X,0
Y,20
Z,0
last_success_proposal,0000013
A,25
B,4
C,23
D,8
E,5
F,9
G,2
H,5
I,9
J,0
K,2
L,2
M,4
N,8
O,8
P,14
Q,0
R,3
S,9
T,38
U,1
V,5
W,16
X,0
Y,22
Z,0
last_success_proposal,0000014
A,26
B,5
C,23
D,8
E,7
F,9
G,2
H,5
I,9
J,0
K,2
L,3
M,4
N,8
O,10
P,14
Q,0
R,6
S,9
T,39
U,1
V,5
W,18
X,0
Y,24
Z,0
last_success_proposal,0000015
A,26
B,5
C,23
D,9
E,7
F,9
G,2
H,5
I,9
J,0
K,2
L,3
M,4
N,8
O,10
P,14
Q,0
R,6
S,9
T,39
U,1
V,5
W,18
X,0
Y,24
Z,0
last_success_proposal,0000016
A,27
B,5
C,24
D,9
E,7
F,9
G,2
H,6
I,9
J,0
K,2
L,3
M,4
N,8
O,11
P,18
Q,0
R,6
S,9
T,40
U,1
V,7
W,20
X,0
Y,27
Z,0
last_success_proposal,0000017
A,30
B,5
C,27
D,9
E,8
F,10
G,2
H,6
I,10
J,0
K,2
L,3
M,4
N,8
O,11
P,19
Q,0
R,6
S,9
T,44
U,1
V,8
W,21
X,0
Y,30
Z,0
last_success_proposal,0000018
A,30
B,6
C,27
D,10
E,8
F,12
G,2
H,6
I,10
J,0
K,3
L,3
M,5
N,8
O,12
P,19
Q,0
R,6
S,10
T,48
U,1
V,9
W,21
X,0
Y,32
Z,0
last_success_proposal,0000019
A,31
B,6
C,28
D,11
E,8
F,13
G,2
H,7
I,10
J,0
K,3
L,4
M,5
N,8
O,12
P,23
Q,0
R,6
S,10
T,49
U,1
V,9
W,22
X,0
Y,32
Z,0
last_success_proposal,0000020
A,33
B,7
C,31
D,12
E,10
F,14
G,2
H,7
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,23
Q,0
R,6
S,10
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000021
A,34
B,7
C,31
D,12
E,10
F,14
G,2
H,8
I,10
J,0
K,3
L,4
M,6
N,8
O,13
P,24
Q,0
R,6
S,11
T,50
U,1
V,9
W,22
X,0
Y,33
Z,0
last_success_proposal,0000022
